"","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Season","Match_Date","Home_Win","Away_Win","Draw"
"113","Coventry","Southampton",1,1,"D","1993-94",1993-10-16,0,0,1
"114","Liverpool","Oldham",2,1,"H","1993-94",1993-10-16,1,0,0
"115","Man United","Tottenham",2,1,"H","1993-94",1993-10-16,1,0,0
"116","Newcastle","QPR",1,2,"A","1993-94",1993-10-16,0,1,0
"117","Sheffield Weds","Wimbledon",2,2,"D","1993-94",1993-10-16,0,0,1
"118","Swindon","Everton",1,1,"D","1993-94",1993-10-16,0,0,1
"119","West Ham","Aston Villa",0,0,"D","1993-94",1993-10-16,0,0,1
"120","Ipswich","Leeds",0,0,"D","1993-94",1993-10-17,0,0,1
"121","Blackburn","Sheffield United",0,0,"D","1993-94",1993-10-18,0,0,1
"122","Aston Villa","Chelsea",1,0,"H","1993-94",1993-10-23,1,0,0
"123","Everton","Man United",0,1,"A","1993-94",1993-10-23,0,1,0
"124","Leeds","Blackburn",3,3,"D","1993-94",1993-10-23,0,0,1
"125","Man City","Liverpool",1,1,"D","1993-94",1993-10-23,0,0,1
"126","Norwich","West Ham",0,0,"D","1993-94",1993-10-23,0,0,1
"127","Oldham","Arsenal",0,0,"D","1993-94",1993-10-23,0,0,1
"128","QPR","Coventry",5,1,"H","1993-94",1993-10-23,1,0,0
"129","Sheffield United","Sheffield Weds",1,1,"D","1993-94",1993-10-23,0,0,1
"130","Tottenham","Swindon",1,1,"D","1993-94",1993-10-23,0,0,1
"131","Southampton","Newcastle",2,1,"H","1993-94",1993-10-24,1,0,0
"132","Wimbledon","Ipswich",0,2,"A","1993-94",1993-10-25,0,1,0
"133","Arsenal","Norwich",0,0,"D","1993-94",1993-10-30,0,0,1
"134","Blackburn","Tottenham",1,0,"H","1993-94",1993-10-30,1,0,0
"135","Chelsea","Oldham",0,1,"A","1993-94",1993-10-30,0,1,0
"136","Ipswich","Everton",0,2,"A","1993-94",1993-10-30,0,1,0
"137","Liverpool","Southampton",4,2,"H","1993-94",1993-10-30,1,0,0
"138","Man United","QPR",2,1,"H","1993-94",1993-10-30,1,0,0
"139","Newcastle","Wimbledon",4,0,"H","1993-94",1993-10-30,1,0,0
"140","Sheffield Weds","Leeds",3,3,"D","1993-94",1993-10-30,0,0,1
"141","Swindon","Aston Villa",1,2,"A","1993-94",1993-10-30,0,1,0
"142","Coventry","Sheffield United",0,0,"D","1993-94",1993-10-31,0,0,1
"143","West Ham","Man City",3,1,"H","1993-94",1993-11-01,1,0,0
"144","Arsenal","Aston Villa",1,2,"A","1993-94",1993-11-06,0,1,0
"145","Coventry","Everton",2,1,"H","1993-94",1993-11-06,1,0,0
"146","Ipswich","Sheffield Weds",1,4,"A","1993-94",1993-11-06,0,1,0
"147","Leeds","Chelsea",4,1,"H","1993-94",1993-11-06,1,0,0
"148","Liverpool","West Ham",2,0,"H","1993-94",1993-11-06,1,0,0
"149","QPR","Blackburn",1,0,"H","1993-94",1993-11-06,1,0,0
"150","Sheffield United","Norwich",1,2,"A","1993-94",1993-11-06,0,1,0
"151","Southampton","Tottenham",1,0,"H","1993-94",1993-11-06,1,0,0
"152","Wimbledon","Swindon",3,0,"H","1993-94",1993-11-06,1,0,0
"153","Man City","Man United",2,3,"A","1993-94",1993-11-07,0,1,0
"154","Oldham","Newcastle",1,3,"A","1993-94",1993-11-08,0,1,0
"155","Aston Villa","Sheffield United",1,0,"H","1993-94",1993-11-20,1,0,0
"156","Blackburn","Southampton",2,0,"H","1993-94",1993-11-20,1,0,0
"157","Chelsea","Arsenal",0,2,"A","1993-94",1993-11-20,0,1,0
"158","Everton","QPR",0,3,"A","1993-94",1993-11-20,0,1,0
"159","Man United","Wimbledon",3,1,"H","1993-94",1993-11-20,1,0,0
"160","Norwich","Man City",1,1,"D","1993-94",1993-11-20,0,0,1
"161","Sheffield Weds","Coventry",0,0,"D","1993-94",1993-11-20,0,0,1
"162","Swindon","Ipswich",2,2,"D","1993-94",1993-11-20,0,0,1
"163","Tottenham","Leeds",1,1,"D","1993-94",1993-11-20,0,0,1
"164","West Ham","Oldham",2,0,"H","1993-94",1993-11-20,1,0,0
"165","Newcastle","Liverpool",3,0,"H","1993-94",1993-11-21,1,0,0
"166","Chelsea","Man City",0,0,"D","1993-94",1993-11-22,0,0,1
"167","Blackburn","Coventry",2,1,"H","1993-94",1993-11-23,1,0,0
"168","Everton","Leeds",1,1,"D","1993-94",1993-11-23,0,0,1
"169","Aston Villa","Southampton",0,2,"A","1993-94",1993-11-24,0,1,0
"170","Man United","Ipswich",0,0,"D","1993-94",1993-11-24,0,0,1
"171","Newcastle","Sheffield United",4,0,"H","1993-94",1993-11-24,1,0,0
"172","Sheffield Weds","Oldham",3,0,"H","1993-94",1993-11-24,1,0,0
"173","Swindon","QPR",1,0,"H","1993-94",1993-11-24,1,0,0
"174","Tottenham","Wimbledon",1,1,"D","1993-94",1993-11-24,0,0,1
"175","West Ham","Arsenal",0,0,"D","1993-94",1993-11-24,0,0,1
"176","Arsenal","Newcastle",2,1,"H","1993-94",1993-11-27,1,0,0
"177","Coventry","Man United",0,1,"A","1993-94",1993-11-27,0,1,0
"178","Ipswich","Blackburn",1,0,"H","1993-94",1993-11-27,1,0,0
"179","Leeds","Swindon",3,0,"H","1993-94",1993-11-27,1,0,0
"180","Man City","Sheffield Weds",1,3,"A","1993-94",1993-11-27,0,1,0
"181","Oldham","Norwich",2,1,"H","1993-94",1993-11-27,1,0,0
"182","QPR","Tottenham",1,1,"D","1993-94",1993-11-27,0,0,1
"183","Sheffield United","Chelsea",1,0,"H","1993-94",1993-11-27,1,0,0
"184","Wimbledon","Everton",1,1,"D","1993-94",1993-11-27,0,0,1
"185","Liverpool","Aston Villa",2,1,"H","1993-94",1993-11-28,1,0,0
"186","Southampton","West Ham",0,2,"A","1993-94",1993-11-29,0,1,0
"187","Coventry","Arsenal",1,0,"H","1993-94",1993-12-04,1,0,0
"188","Everton","Southampton",1,0,"H","1993-94",1993-12-04,1,0,0
"189","Ipswich","Oldham",0,0,"D","1993-94",1993-12-04,0,0,1
"190","Leeds","Man City",3,2,"H","1993-94",1993-12-04,1,0,0
"191","Man United","Norwich",2,2,"D","1993-94",1993-12-04,0,0,1
"192","QPR","Aston Villa",2,2,"D","1993-94",1993-12-04,0,0,1
"193","Sheffield Weds","Liverpool",3,1,"H","1993-94",1993-12-04,1,0,0
"194","Swindon","Sheffield United",0,0,"D","1993-94",1993-12-04,0,0,1
"195","Tottenham","Newcastle",1,2,"A","1993-94",1993-12-04,0,1,0
"196","Wimbledon","West Ham",1,2,"A","1993-94",1993-12-04,0,1,0
"197","Blackburn","Chelsea",2,0,"H","1993-94",1993-12-05,1,0,0
"198","Arsenal","Tottenham",1,1,"D","1993-94",1993-12-06,0,0,1
"199","Oldham","Swindon",2,1,"H","1993-94",1993-12-07,1,0,0
"200","Sheffield United","Man United",0,3,"A","1993-94",1993-12-07,0,1,0
"201","Aston Villa","Sheffield Weds",2,2,"D","1993-94",1993-12-08,0,0,1
"202","Liverpool","QPR",3,2,"H","1993-94",1993-12-08,1,0,0
"203","Man City","Everton",1,0,"H","1993-94",1993-12-08,1,0,0
"204","Southampton","Ipswich",0,1,"A","1993-94",1993-12-08,0,1,0
"205","West Ham","Leeds",0,1,"A","1993-94",1993-12-08,0,1,0
"206","Aston Villa","Wimbledon",0,1,"A","1993-94",1993-12-11,0,1,0
"207","Chelsea","Ipswich",1,1,"D","1993-94",1993-12-11,0,0,1
"208","Liverpool","Swindon",2,2,"D","1993-94",1993-12-11,0,0,1
"209","Man City","Tottenham",0,2,"A","1993-94",1993-12-11,0,1,0
"210","Newcastle","Man United",1,1,"D","1993-94",1993-12-11,0,0,1
"211","Oldham","Blackburn",1,2,"A","1993-94",1993-12-11,0,1,0
"212","Sheffield United","Everton",0,0,"D","1993-94",1993-12-11,0,0,1
"213","Southampton","QPR",0,1,"A","1993-94",1993-12-11,0,1,0
"214","West Ham","Coventry",3,2,"H","1993-94",1993-12-11,1,0,0
"215","Arsenal","Sheffield Weds",1,0,"H","1993-94",1993-12-12,1,0,0
"216","Norwich","Leeds",2,1,"H","1993-94",1993-12-13,1,0,0
"217","Blackburn","Man City",2,0,"H","1993-94",1993-12-18,1,0,0
"218","Coventry","Oldham",1,1,"D","1993-94",1993-12-18,0,0,1
"219","Everton","Newcastle",0,2,"A","1993-94",1993-12-18,0,1,0
"220","Ipswich","Norwich",2,1,"H","1993-94",1993-12-18,1,0,0
"221","Leeds","Arsenal",2,1,"H","1993-94",1993-12-18,1,0,0
"222","Sheffield Weds","West Ham",5,0,"H","1993-94",1993-12-18,1,0,0
"223","Swindon","Southampton",2,1,"H","1993-94",1993-12-18,1,0,0
"224","Tottenham","Liverpool",3,3,"D","1993-94",1993-12-18,0,0,1
"225","Wimbledon","Sheffield United",2,0,"H","1993-94",1993-12-18,1,0,0
"226","Man United","Aston Villa",3,1,"H","1993-94",1993-12-19,1,0,0
"227","Newcastle","Leeds",1,1,"D","1993-94",1993-12-22,0,0,1
"228","Man United","Blackburn",1,1,"D","1993-94",1993-12-26,0,0,1
"229","Sheffield United","Liverpool",0,0,"D","1993-94",1993-12-26,0,0,1
"230","Wimbledon","Coventry",1,2,"A","1993-94",1993-12-26,0,1,0
"231","Everton","Sheffield Weds",0,2,"A","1993-94",1993-12-27,0,1,0
"232","Ipswich","West Ham",1,1,"D","1993-94",1993-12-27,0,0,1
"233","QPR","Oldham",2,0,"H","1993-94",1993-12-27,1,0,0
"234","Southampton","Chelsea",3,1,"H","1993-94",1993-12-27,1,0,0
"235","Swindon","Arsenal",0,4,"A","1993-94",1993-12-27,0,1,0
"236","Tottenham","Norwich",1,3,"A","1993-94",1993-12-27,0,1,0
"237","Chelsea","Newcastle",1,0,"H","1993-94",1993-12-28,1,0,0
"238","Liverpool","Wimbledon",1,1,"D","1993-94",1993-12-28,0,0,1
"239","Man City","Southampton",1,1,"D","1993-94",1993-12-28,0,0,1
"240","West Ham","Tottenham",1,3,"A","1993-94",1993-12-28,0,1,0
"241","Arsenal","Sheffield United",3,0,"H","1993-94",1993-12-29,1,0,0
"242","Blackburn","Everton",2,0,"H","1993-94",1993-12-29,1,0,0
"243","Leeds","QPR",1,1,"D","1993-94",1993-12-29,0,0,1
"244","Norwich","Aston Villa",1,2,"A","1993-94",1993-12-29,0,1,0
"245","Oldham","Man United",2,5,"A","1993-94",1993-12-29,0,1,0
"246","Sheffield Weds","Swindon",3,3,"D","1993-94",1993-12-29,0,0,1
"247","Aston Villa","Blackburn",0,1,"A","1993-94",1994-01-01,0,1,0
"248","Everton","West Ham",0,1,"A","1993-94",1994-01-01,0,1,0
"249","Ipswich","Liverpool",1,2,"A","1993-94",1994-01-01,0,1,0
"250","Man United","Leeds",0,0,"D","1993-94",1994-01-01,0,0,1
"251","Newcastle","Man City",2,0,"H","1993-94",1994-01-01,1,0,0
"252","QPR","Sheffield Weds",1,2,"A","1993-94",1994-01-01,0,1,0
"253","Sheffield United","Oldham",2,1,"H","1993-94",1994-01-01,1,0,0
"254","Southampton","Norwich",0,1,"A","1993-94",1994-01-01,0,1,0
"255","Swindon","Chelsea",1,3,"A","1993-94",1994-01-01,0,1,0
"256","Tottenham","Coventry",1,2,"A","1993-94",1994-01-01,0,1,0
"257","Wimbledon","Arsenal",0,3,"A","1993-94",1994-01-01,0,1,0
"258","Arsenal","QPR",0,0,"D","1993-94",1994-01-03,0,0,1
"259","Chelsea","Everton",4,2,"H","1993-94",1994-01-03,1,0,0
"260","Coventry","Swindon",1,1,"D","1993-94",1994-01-03,0,0,1
"261","Sheffield Weds","Tottenham",1,0,"H","1993-94",1994-01-03,1,0,0
"262","West Ham","Sheffield United",0,0,"D","1993-94",1994-01-03,0,0,1
"263","Liverpool","Man United",3,3,"D","1993-94",1994-01-04,0,0,1
"264","Norwich","Newcastle",1,2,"A","1993-94",1994-01-04,0,1,0
"265","Aston Villa","West Ham",3,1,"H","1993-94",1994-01-15,1,0,0
"266","Everton","Swindon",6,2,"H","1993-94",1994-01-15,1,0,0
"267","Leeds","Ipswich",0,0,"D","1993-94",1994-01-15,0,0,1
"268","Man City","Arsenal",0,0,"D","1993-94",1994-01-15,0,0,1
"269","Norwich","Chelsea",1,1,"D","1993-94",1994-01-15,0,0,1
"270","Oldham","Liverpool",0,3,"A","1993-94",1994-01-15,0,1,0
"271","Sheffield United","Blackburn",1,2,"A","1993-94",1994-01-15,0,1,0
"272","Southampton","Coventry",1,0,"H","1993-94",1994-01-15,1,0,0
"273","Tottenham","Man United",0,1,"A","1993-94",1994-01-15,0,1,0
"274","Wimbledon","Sheffield Weds",2,1,"H","1993-94",1994-01-15,1,0,0
"275","QPR","Newcastle",1,2,"A","1993-94",1994-01-16,0,1,0
"276","Arsenal","Oldham",1,1,"D","1993-94",1994-01-22,0,0,1
"277","Chelsea","Aston Villa",1,1,"D","1993-94",1994-01-22,0,0,1
"278","Coventry","QPR",0,1,"A","1993-94",1994-01-22,0,1,0
"279","Ipswich","Wimbledon",0,0,"D","1993-94",1994-01-22,0,0,1
"280","Liverpool","Man City",2,1,"H","1993-94",1994-01-22,1,0,0
"281","Man United","Everton",1,0,"H","1993-94",1994-01-22,1,0,0
"282","Newcastle","Southampton",1,2,"A","1993-94",1994-01-22,0,1,0
