"","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Season","Match_Date","Home_Win","Away_Win","Draw"
"5542","Arsenal","Derby",5,0,"H","2007-08",2007-09-22,1,0,0
"5543","Fulham","Man City",3,3,"D","2007-08",2007-09-22,0,0,1
"5544","Liverpool","Birmingham",0,0,"D","2007-08",2007-09-22,0,0,1
"5545","Middlesbrough","Sunderland",2,2,"D","2007-08",2007-09-22,0,0,1
"5546","Reading","Wigan",2,1,"H","2007-08",2007-09-22,1,0,0
"5547","Aston Villa","Everton",2,0,"H","2007-08",2007-09-23,1,0,0
"5548","Blackburn","Portsmouth",0,1,"A","2007-08",2007-09-23,0,1,0
"5549","Bolton","Tottenham",1,1,"D","2007-08",2007-09-23,0,0,1
"5550","Man United","Chelsea",2,0,"H","2007-08",2007-09-23,1,0,0
"5551","Newcastle","West Ham",3,1,"H","2007-08",2007-09-23,1,0,0
"5552","Birmingham","Man United",0,1,"A","2007-08",2007-09-29,0,1,0
"5553","Chelsea","Fulham",0,0,"D","2007-08",2007-09-29,0,0,1
"5554","Derby","Bolton",1,1,"D","2007-08",2007-09-29,0,0,1
"5555","Man City","Newcastle",3,1,"H","2007-08",2007-09-29,1,0,0
"5556","Portsmouth","Reading",7,4,"H","2007-08",2007-09-29,1,0,0
"5557","Sunderland","Blackburn",1,2,"A","2007-08",2007-09-29,0,1,0
"5558","West Ham","Arsenal",0,1,"A","2007-08",2007-09-29,0,1,0
"5559","Wigan","Liverpool",0,1,"A","2007-08",2007-09-29,0,1,0
"5560","Everton","Middlesbrough",2,0,"H","2007-08",2007-09-30,1,0,0
"5561","Tottenham","Aston Villa",4,4,"D","2007-08",2007-10-01,0,0,1
"5562","Aston Villa","West Ham",1,0,"H","2007-08",2007-10-06,1,0,0
"5563","Man United","Wigan",4,0,"H","2007-08",2007-10-06,1,0,0
"5564","Arsenal","Sunderland",3,2,"H","2007-08",2007-10-07,1,0,0
"5565","Blackburn","Birmingham",2,1,"H","2007-08",2007-10-07,1,0,0
"5566","Bolton","Chelsea",0,1,"A","2007-08",2007-10-07,0,1,0
"5567","Fulham","Portsmouth",0,2,"A","2007-08",2007-10-07,0,1,0
"5568","Liverpool","Tottenham",2,2,"D","2007-08",2007-10-07,0,0,1
"5569","Man City","Middlesbrough",3,1,"H","2007-08",2007-10-07,1,0,0
"5570","Newcastle","Everton",3,2,"H","2007-08",2007-10-07,1,0,0
"5571","Reading","Derby",1,0,"H","2007-08",2007-10-07,1,0,0
"5572","Arsenal","Bolton",2,0,"H","2007-08",2007-10-20,1,0,0
"5573","Aston Villa","Man United",1,4,"A","2007-08",2007-10-20,0,1,0
"5574","Blackburn","Reading",4,2,"H","2007-08",2007-10-20,1,0,0
"5575","Everton","Liverpool",1,2,"A","2007-08",2007-10-20,0,1,0
"5576","Fulham","Derby",0,0,"D","2007-08",2007-10-20,0,0,1
"5577","Man City","Birmingham",1,0,"H","2007-08",2007-10-20,1,0,0
"5578","Middlesbrough","Chelsea",0,2,"A","2007-08",2007-10-20,0,1,0
"5579","Wigan","Portsmouth",0,2,"A","2007-08",2007-10-20,0,1,0
"5580","West Ham","Sunderland",3,1,"H","2007-08",2007-10-21,1,0,0
"5581","Newcastle","Tottenham",3,1,"H","2007-08",2007-10-22,1,0,0
"5582","Birmingham","Wigan",3,2,"H","2007-08",2007-10-27,1,0,0
"5583","Chelsea","Man City",6,0,"H","2007-08",2007-10-27,1,0,0
"5584","Man United","Middlesbrough",4,1,"H","2007-08",2007-10-27,1,0,0
"5585","Portsmouth","West Ham",0,0,"D","2007-08",2007-10-27,0,0,1
"5586","Reading","Newcastle",2,1,"H","2007-08",2007-10-27,1,0,0
"5587","Sunderland","Fulham",1,1,"D","2007-08",2007-10-27,0,0,1
"5588","Bolton","Aston Villa",1,1,"D","2007-08",2007-10-28,0,0,1
"5589","Derby","Everton",0,2,"A","2007-08",2007-10-28,0,1,0
"5590","Liverpool","Arsenal",1,1,"D","2007-08",2007-10-28,0,0,1
"5591","Tottenham","Blackburn",1,2,"A","2007-08",2007-10-28,0,1,0
"5592","Arsenal","Man United",2,2,"D","2007-08",2007-11-03,0,0,1
"5593","Aston Villa","Derby",2,0,"H","2007-08",2007-11-03,1,0,0
"5594","Blackburn","Liverpool",0,0,"D","2007-08",2007-11-03,0,0,1
"5595","Everton","Birmingham",3,1,"H","2007-08",2007-11-03,1,0,0
"5596","Fulham","Reading",3,1,"H","2007-08",2007-11-03,1,0,0
"5597","Middlesbrough","Tottenham",1,1,"D","2007-08",2007-11-03,0,0,1
"5598","Newcastle","Portsmouth",1,4,"A","2007-08",2007-11-03,0,1,0
"5599","Wigan","Chelsea",0,2,"A","2007-08",2007-11-03,0,1,0
"5600","West Ham","Bolton",1,1,"D","2007-08",2007-11-04,0,0,1
"5601","Man City","Sunderland",1,0,"H","2007-08",2007-11-05,1,0,0
"5602","Derby","West Ham",0,5,"A","2007-08",2007-11-10,0,1,0
"5603","Liverpool","Fulham",2,0,"H","2007-08",2007-11-10,1,0,0
"5604","Sunderland","Newcastle",1,1,"D","2007-08",2007-11-10,0,0,1
"5605","Birmingham","Aston Villa",1,2,"A","2007-08",2007-11-11,0,1,0
"5606","Bolton","Middlesbrough",0,0,"D","2007-08",2007-11-11,0,0,1
"5607","Chelsea","Everton",1,1,"D","2007-08",2007-11-11,0,0,1
"5608","Man United","Blackburn",2,0,"H","2007-08",2007-11-11,1,0,0
"5609","Portsmouth","Man City",0,0,"D","2007-08",2007-11-11,0,0,1
"5610","Tottenham","Wigan",4,0,"H","2007-08",2007-11-11,1,0,0
"5611","Reading","Arsenal",1,3,"A","2007-08",2007-11-12,0,1,0
"5612","Arsenal","Wigan",2,0,"H","2007-08",2007-11-24,1,0,0
"5613","Birmingham","Portsmouth",0,2,"A","2007-08",2007-11-24,0,1,0
"5614","Bolton","Man United",1,0,"H","2007-08",2007-11-24,1,0,0
"5615","Derby","Chelsea",0,2,"A","2007-08",2007-11-24,0,1,0
"5616","Everton","Sunderland",7,1,"H","2007-08",2007-11-24,1,0,0
"5617","Man City","Reading",2,1,"H","2007-08",2007-11-24,1,0,0
"5618","Middlesbrough","Aston Villa",0,3,"A","2007-08",2007-11-24,0,1,0
"5619","Newcastle","Liverpool",0,3,"A","2007-08",2007-11-24,0,1,0
"5620","Fulham","Blackburn",2,2,"D","2007-08",2007-11-25,0,0,1
"5621","West Ham","Tottenham",1,1,"D","2007-08",2007-11-25,0,0,1
"5622","Blackburn","Aston Villa",0,4,"A","2007-08",2007-11-28,0,1,0
"5623","Aston Villa","Arsenal",1,2,"A","2007-08",2007-12-01,0,1,0
"5624","Blackburn","Newcastle",3,1,"H","2007-08",2007-12-01,1,0,0
"5625","Chelsea","West Ham",1,0,"H","2007-08",2007-12-01,1,0,0
"5626","Portsmouth","Everton",0,0,"D","2007-08",2007-12-01,0,0,1
"5627","Reading","Middlesbrough",1,1,"D","2007-08",2007-12-01,0,0,1
"5628","Sunderland","Derby",1,0,"H","2007-08",2007-12-01,1,0,0
"5629","Wigan","Man City",1,1,"D","2007-08",2007-12-01,0,0,1
"5630","Liverpool","Bolton",4,0,"H","2007-08",2007-12-02,1,0,0
"5631","Tottenham","Birmingham",2,3,"A","2007-08",2007-12-02,0,1,0
"5632","Man United","Fulham",2,0,"H","2007-08",2007-12-03,1,0,0
"5633","Newcastle","Arsenal",1,1,"D","2007-08",2007-12-05,0,0,1
"5634","Aston Villa","Portsmouth",1,3,"A","2007-08",2007-12-08,0,1,0
"5635","Chelsea","Sunderland",2,0,"H","2007-08",2007-12-08,1,0,0
"5636","Everton","Fulham",3,0,"H","2007-08",2007-12-08,1,0,0
"5637","Man United","Derby",4,1,"H","2007-08",2007-12-08,1,0,0
"5638","Newcastle","Birmingham",2,1,"H","2007-08",2007-12-08,1,0,0
"5639","Reading","Liverpool",3,1,"H","2007-08",2007-12-08,1,0,0
"5640","Blackburn","West Ham",0,1,"A","2007-08",2007-12-09,0,1,0
"5641","Bolton","Wigan",4,1,"H","2007-08",2007-12-09,1,0,0
"5642","Middlesbrough","Arsenal",2,1,"H","2007-08",2007-12-09,1,0,0
"5643","Tottenham","Man City",2,1,"H","2007-08",2007-12-09,1,0,0
"5644","Birmingham","Reading",1,1,"D","2007-08",2007-12-15,0,0,1
"5645","Derby","Middlesbrough",0,1,"A","2007-08",2007-12-15,0,1,0
"5646","Fulham","Newcastle",0,1,"A","2007-08",2007-12-15,0,1,0
"5647","Man City","Bolton",4,2,"H","2007-08",2007-12-15,1,0,0
"5648","Portsmouth","Tottenham",0,1,"A","2007-08",2007-12-15,0,1,0
"5649","Sunderland","Aston Villa",1,1,"D","2007-08",2007-12-15,0,0,1
"5650","West Ham","Everton",0,2,"A","2007-08",2007-12-15,0,1,0
"5651","Wigan","Blackburn",5,3,"H","2007-08",2007-12-15,1,0,0
"5652","Arsenal","Chelsea",1,0,"H","2007-08",2007-12-16,1,0,0
"5653","Liverpool","Man United",0,1,"A","2007-08",2007-12-16,0,1,0
"5654","Arsenal","Tottenham",2,1,"H","2007-08",2007-12-22,1,0,0
"5655","Aston Villa","Man City",1,1,"D","2007-08",2007-12-22,0,0,1
"5656","Bolton","Birmingham",3,0,"H","2007-08",2007-12-22,1,0,0
"5657","Fulham","Wigan",1,1,"D","2007-08",2007-12-22,0,0,1
"5658","Liverpool","Portsmouth",4,1,"H","2007-08",2007-12-22,1,0,0
"5659","Middlesbrough","West Ham",1,2,"A","2007-08",2007-12-22,0,1,0
"5660","Reading","Sunderland",2,1,"H","2007-08",2007-12-22,1,0,0
"5661","Blackburn","Chelsea",0,1,"A","2007-08",2007-12-23,0,1,0
"5662","Man United","Everton",2,1,"H","2007-08",2007-12-23,1,0,0
"5663","Newcastle","Derby",2,2,"D","2007-08",2007-12-23,0,0,1
"5664","Birmingham","Middlesbrough",3,0,"H","2007-08",2007-12-26,1,0,0
"5665","Chelsea","Aston Villa",4,4,"D","2007-08",2007-12-26,0,0,1
"5666","Derby","Liverpool",1,2,"A","2007-08",2007-12-26,0,1,0
"5667","Everton","Bolton",2,0,"H","2007-08",2007-12-26,1,0,0
"5668","Portsmouth","Arsenal",0,0,"D","2007-08",2007-12-26,0,0,1
"5669","Sunderland","Man United",0,4,"A","2007-08",2007-12-26,0,1,0
"5670","Tottenham","Fulham",5,1,"H","2007-08",2007-12-26,1,0,0
"5671","West Ham","Reading",1,1,"D","2007-08",2007-12-26,0,0,1
"5672","Wigan","Newcastle",1,0,"H","2007-08",2007-12-26,1,0,0
"5673","Man City","Blackburn",2,2,"D","2007-08",2007-12-27,0,0,1
"5674","Birmingham","Fulham",1,1,"D","2007-08",2007-12-29,0,0,1
"5675","Chelsea","Newcastle",2,1,"H","2007-08",2007-12-29,1,0,0
"5676","Everton","Arsenal",1,4,"A","2007-08",2007-12-29,0,1,0
"5677","Portsmouth","Middlesbrough",0,1,"A","2007-08",2007-12-29,0,1,0
"5678","Sunderland","Bolton",3,1,"H","2007-08",2007-12-29,1,0,0
"5679","Tottenham","Reading",6,4,"H","2007-08",2007-12-29,1,0,0
"5680","West Ham","Man United",2,1,"H","2007-08",2007-12-29,1,0,0
"5681","Wigan","Aston Villa",1,2,"A","2007-08",2007-12-29,0,1,0
"5682","Derby","Blackburn",1,2,"A","2007-08",2007-12-30,0,1,0
"5683","Man City","Liverpool",0,0,"D","2007-08",2007-12-30,0,0,1
"5684","Arsenal","West Ham",2,0,"H","2007-08",2008-01-01,1,0,0
"5685","Aston Villa","Tottenham",2,1,"H","2007-08",2008-01-01,1,0,0
"5686","Fulham","Chelsea",1,2,"A","2007-08",2008-01-01,0,1,0
"5687","Man United","Birmingham",1,0,"H","2007-08",2008-01-01,1,0,0
"5688","Middlesbrough","Everton",0,2,"A","2007-08",2008-01-01,0,1,0
"5689","Reading","Portsmouth",0,2,"A","2007-08",2008-01-01,0,1,0
"5690","Blackburn","Sunderland",1,0,"H","2007-08",2008-01-02,1,0,0
"5691","Bolton","Derby",1,0,"H","2007-08",2008-01-02,1,0,0
"5692","Liverpool","Wigan",1,1,"D","2007-08",2008-01-02,0,0,1
"5693","Newcastle","Man City",0,2,"A","2007-08",2008-01-02,0,1,0
"5694","Arsenal","Birmingham",1,1,"D","2007-08",2008-01-12,0,0,1
"5695","Aston Villa","Reading",3,1,"H","2007-08",2008-01-12,1,0,0
"5696","Chelsea","Tottenham",2,0,"H","2007-08",2008-01-12,1,0,0
"5697","Derby","Wigan",0,1,"A","2007-08",2008-01-12,0,1,0
"5698","Everton","Man City",1,0,"H","2007-08",2008-01-12,1,0,0
"5699","Man United","Newcastle",6,0,"H","2007-08",2008-01-12,1,0,0
"5700","Middlesbrough","Liverpool",1,1,"D","2007-08",2008-01-12,0,0,1
"5701","West Ham","Fulham",2,1,"H","2007-08",2008-01-12,1,0,0
"5702","Bolton","Blackburn",1,2,"A","2007-08",2008-01-13,0,1,0
"5703","Sunderland","Portsmouth",2,0,"H","2007-08",2008-01-13,1,0,0
"5704","Birmingham","Chelsea",0,1,"A","2007-08",2008-01-19,0,1,0
"5705","Blackburn","Middlesbrough",1,1,"D","2007-08",2008-01-19,0,0,1
"5706","Fulham","Arsenal",0,3,"A","2007-08",2008-01-19,0,1,0
"5707","Newcastle","Bolton",0,0,"D","2007-08",2008-01-19,0,0,1
"5708","Portsmouth","Derby",3,1,"H","2007-08",2008-01-19,1,0,0
"5709","Reading","Man United",0,2,"A","2007-08",2008-01-19,0,1,0
"5710","Tottenham","Sunderland",2,0,"H","2007-08",2008-01-19,1,0,0
"5711","Man City","West Ham",1,1,"D","2007-08",2008-01-20,0,0,1
"5712","Wigan","Everton",1,2,"A","2007-08",2008-01-20,0,1,0
"5713","Liverpool","Aston Villa",2,2,"D","2007-08",2008-01-21,0,0,1
"5714","Aston Villa","Blackburn",1,1,"D","2007-08",2008-01-26,0,0,1
"5715","Arsenal","Newcastle",3,0,"H","2007-08",2008-01-29,1,0,0
"5716","Bolton","Fulham",0,0,"D","2007-08",2008-01-29,0,0,1
"5717","Middlesbrough","Wigan",1,0,"H","2007-08",2008-01-29,1,0,0
"5718","Sunderland","Birmingham",2,0,"H","2007-08",2008-01-29,1,0,0
"5719","Chelsea","Reading",1,0,"H","2007-08",2008-01-30,1,0,0
"5720","Derby","Man City",1,1,"D","2007-08",2008-01-30,0,0,1
"5721","Everton","Tottenham",0,0,"D","2007-08",2008-01-30,0,0,1
"5722","Man United","Portsmouth",2,0,"H","2007-08",2008-01-30,1,0,0
"5723","West Ham","Liverpool",1,0,"H","2007-08",2008-01-30,1,0,0
"5724","Birmingham","Derby",1,1,"D","2007-08",2008-02-02,0,0,1
"5725","Blackburn","Everton",0,0,"D","2007-08",2008-02-02,0,0,1
"5726","Liverpool","Sunderland",3,0,"H","2007-08",2008-02-02,1,0,0
"5727","Man City","Arsenal",1,3,"A","2007-08",2008-02-02,0,1,0
"5728","Portsmouth","Chelsea",1,1,"D","2007-08",2008-02-02,0,0,1
"5729","Reading","Bolton",0,2,"A","2007-08",2008-02-02,0,1,0
"5730","Tottenham","Man United",1,1,"D","2007-08",2008-02-02,0,0,1
"5731","Wigan","West Ham",1,0,"H","2007-08",2008-02-02,1,0,0
"5732","Fulham","Aston Villa",2,1,"H","2007-08",2008-02-03,1,0,0
"5733","Newcastle","Middlesbrough",1,1,"D","2007-08",2008-02-03,0,0,1
"5734","Aston Villa","Newcastle",4,1,"H","2007-08",2008-02-09,1,0,0
"5735","Bolton","Portsmouth",0,1,"A","2007-08",2008-02-09,0,1,0
"5736","Derby","Tottenham",0,3,"A","2007-08",2008-02-09,0,1,0
"5737","Everton","Reading",1,0,"H","2007-08",2008-02-09,1,0,0
"5738","Middlesbrough","Fulham",1,0,"H","2007-08",2008-02-09,1,0,0
"5739","Sunderland","Wigan",2,0,"H","2007-08",2008-02-09,1,0,0
"5740","West Ham","Birmingham",1,1,"D","2007-08",2008-02-09,0,0,1
"5741","Chelsea","Liverpool",0,0,"D","2007-08",2008-02-10,0,0,1
"5742","Man United","Man City",1,2,"A","2007-08",2008-02-10,0,1,0
"5743","Arsenal","Blackburn",2,0,"H","2007-08",2008-02-11,1,0,0
"5744","Birmingham","Arsenal",2,2,"D","2007-08",2008-02-23,0,0,1
"5745","Fulham","West Ham",0,1,"A","2007-08",2008-02-23,0,1,0
"5746","Liverpool","Middlesbrough",3,2,"H","2007-08",2008-02-23,1,0,0
"5747","Newcastle","Man United",1,5,"A","2007-08",2008-02-23,0,1,0
"5748","Portsmouth","Sunderland",1,0,"H","2007-08",2008-02-23,1,0,0
"5749","Wigan","Derby",2,0,"H","2007-08",2008-02-23,1,0,0
"5750","Blackburn","Bolton",4,1,"H","2007-08",2008-02-24,1,0,0
"5751","Reading","Aston Villa",1,2,"A","2007-08",2008-02-24,0,1,0
"5752","Man City","Everton",0,2,"A","2007-08",2008-02-25,0,1,0
"5753","Arsenal","Aston Villa",1,1,"D","2007-08",2008-03-01,0,0,1
"5754","Birmingham","Tottenham",4,1,"H","2007-08",2008-03-01,1,0,0
"5755","Derby","Sunderland",0,0,"D","2007-08",2008-03-01,0,0,1
"5756","Fulham","Man United",0,3,"A","2007-08",2008-03-01,0,1,0
"5757","Man City","Wigan",0,0,"D","2007-08",2008-03-01,0,0,1
"5758","Middlesbrough","Reading",0,1,"A","2007-08",2008-03-01,0,1,0
"5759","Newcastle","Blackburn",0,1,"A","2007-08",2008-03-01,0,1,0
"5760","West Ham","Chelsea",0,4,"A","2007-08",2008-03-01,0,1,0
"5761","Bolton","Liverpool",1,3,"A","2007-08",2008-03-02,0,1,0
"5762","Everton","Portsmouth",3,1,"H","2007-08",2008-03-02,1,0,0
"5763","Liverpool","West Ham",4,0,"H","2007-08",2008-03-05,1,0,0
"5764","Blackburn","Fulham",1,1,"D","2007-08",2008-03-08,0,0,1
"5765","Liverpool","Newcastle",3,0,"H","2007-08",2008-03-08,1,0,0
"5766","Reading","Man City",2,0,"H","2007-08",2008-03-08,1,0,0
"5767","Sunderland","Everton",0,1,"A","2007-08",2008-03-09,0,1,0
"5768","Tottenham","West Ham",4,0,"H","2007-08",2008-03-09,1,0,0
"5769","Wigan","Arsenal",0,0,"D","2007-08",2008-03-09,0,0,1
"5770","Aston Villa","Middlesbrough",1,1,"D","2007-08",2008-03-12,0,0,1
"5771","Chelsea","Derby",6,1,"H","2007-08",2008-03-12,1,0,0
"5772","Portsmouth","Birmingham",4,2,"H","2007-08",2008-03-12,1,0,0
"5773","Arsenal","Middlesbrough",1,1,"D","2007-08",2008-03-15,0,0,1
"5774","Derby","Man United",0,1,"A","2007-08",2008-03-15,0,1,0
"5775","Liverpool","Reading",2,1,"H","2007-08",2008-03-15,1,0,0
"5776","Portsmouth","Aston Villa",2,0,"H","2007-08",2008-03-15,1,0,0
"5777","Sunderland","Chelsea",0,1,"A","2007-08",2008-03-15,0,1,0
"5778","West Ham","Blackburn",2,1,"H","2007-08",2008-03-15,1,0,0
"5779","Fulham","Everton",1,0,"H","2007-08",2008-03-16,1,0,0
"5780","Man City","Tottenham",2,1,"H","2007-08",2008-03-16,1,0,0
"5781","Wigan","Bolton",1,0,"H","2007-08",2008-03-16,1,0,0
"5782","Birmingham","Newcastle",1,1,"D","2007-08",2008-03-17,0,0,1
"5783","Man United","Bolton",2,0,"H","2007-08",2008-03-19,1,0,0
"5784","Tottenham","Chelsea",4,4,"D","2007-08",2008-03-19,0,0,1
"5785","Aston Villa","Sunderland",0,1,"A","2007-08",2008-03-22,0,1,0
"5786","Blackburn","Wigan",3,1,"H","2007-08",2008-03-22,1,0,0
"5787","Bolton","Man City",0,0,"D","2007-08",2008-03-22,0,0,1
"5788","Everton","West Ham",1,1,"D","2007-08",2008-03-22,0,0,1
"5789","Middlesbrough","Derby",1,0,"H","2007-08",2008-03-22,1,0,0
"5790","Newcastle","Fulham",2,0,"H","2007-08",2008-03-22,1,0,0
"5791","Reading","Birmingham",2,1,"H","2007-08",2008-03-22,1,0,0
"5792","Tottenham","Portsmouth",2,0,"H","2007-08",2008-03-22,1,0,0
"5793","Chelsea","Arsenal",2,1,"H","2007-08",2008-03-23,1,0,0
"5794","Man United","Liverpool",3,0,"H","2007-08",2008-03-23,1,0,0
"5795","Birmingham","Man City",3,1,"H","2007-08",2008-03-29,1,0,0
"5796","Bolton","Arsenal",2,3,"A","2007-08",2008-03-29,0,1,0
"5797","Derby","Fulham",2,2,"D","2007-08",2008-03-29,0,0,1
"5798","Man United","Aston Villa",4,0,"H","2007-08",2008-03-29,1,0,0
"5799","Portsmouth","Wigan",2,0,"H","2007-08",2008-03-29,1,0,0
"5800","Reading","Blackburn",0,0,"D","2007-08",2008-03-29,0,0,1
"5801","Sunderland","West Ham",2,1,"H","2007-08",2008-03-29,1,0,0
"5802","Chelsea","Middlesbrough",1,0,"H","2007-08",2008-03-30,1,0,0
"5803","Liverpool","Everton",1,0,"H","2007-08",2008-03-30,1,0,0
"5804","Tottenham","Newcastle",1,4,"A","2007-08",2008-03-30,0,1,0
"5805","Arsenal","Liverpool",1,1,"D","2007-08",2008-04-05,0,0,1
"5806","Aston Villa","Bolton",4,0,"H","2007-08",2008-04-05,1,0,0
"5807","Blackburn","Tottenham",1,1,"D","2007-08",2008-04-05,0,0,1
"5808","Fulham","Sunderland",1,3,"A","2007-08",2008-04-05,0,1,0
"5809","Man City","Chelsea",0,2,"A","2007-08",2008-04-05,0,1,0
"5810","Newcastle","Reading",3,0,"H","2007-08",2008-04-05,1,0,0
"5811","Wigan","Birmingham",2,0,"H","2007-08",2008-04-05,1,0,0
"5812","Everton","Derby",1,0,"H","2007-08",2008-04-06,1,0,0
"5813","Middlesbrough","Man United",2,2,"D","2007-08",2008-04-06,0,0,1
"5814","West Ham","Portsmouth",0,1,"A","2007-08",2008-04-08,0,1,0
"5815","Birmingham","Everton",1,1,"D","2007-08",2008-04-12,0,0,1
"5816","Bolton","West Ham",1,0,"H","2007-08",2008-04-12,1,0,0
"5817","Derby","Aston Villa",0,6,"A","2007-08",2008-04-12,0,1,0
"5818","Portsmouth","Newcastle",0,0,"D","2007-08",2008-04-12,0,0,1
"5819","Reading","Fulham",0,2,"A","2007-08",2008-04-12,0,1,0
"5820","Sunderland","Man City",1,2,"A","2007-08",2008-04-12,0,1,0
"5821","Tottenham","Middlesbrough",1,1,"D","2007-08",2008-04-12,0,0,1
"5822","Liverpool","Blackburn",3,1,"H","2007-08",2008-04-13,1,0,0
"5823","Man United","Arsenal",2,1,"H","2007-08",2008-04-13,1,0,0
"5824","Chelsea","Wigan",1,1,"D","2007-08",2008-04-14,0,0,1
"5825","Everton","Chelsea",0,1,"A","2007-08",2008-04-17,0,1,0
"5826","Arsenal","Reading",2,0,"H","2007-08",2008-04-19,1,0,0
"5827","Blackburn","Man United",1,1,"D","2007-08",2008-04-19,0,0,1
"5828","Fulham","Liverpool",0,2,"A","2007-08",2008-04-19,0,1,0
"5829","Middlesbrough","Bolton",0,1,"A","2007-08",2008-04-19,0,1,0
"5830","West Ham","Derby",2,1,"H","2007-08",2008-04-19,1,0,0
"5831","Wigan","Tottenham",1,1,"D","2007-08",2008-04-19,0,0,1
"5832","Aston Villa","Birmingham",5,1,"H","2007-08",2008-04-20,1,0,0
"5833","Man City","Portsmouth",3,1,"H","2007-08",2008-04-20,1,0,0
"5834","Newcastle","Sunderland",2,0,"H","2007-08",2008-04-20,1,0,0
"5835","Birmingham","Liverpool",2,2,"D","2007-08",2008-04-26,0,0,1
"5836","Chelsea","Man United",2,1,"H","2007-08",2008-04-26,1,0,0
"5837","Man City","Fulham",2,3,"A","2007-08",2008-04-26,0,1,0
"5838","Sunderland","Middlesbrough",3,2,"H","2007-08",2008-04-26,1,0,0
"5839","Tottenham","Bolton",1,1,"D","2007-08",2008-04-26,0,0,1
"5840","West Ham","Newcastle",2,2,"D","2007-08",2008-04-26,0,0,1
"5841","Wigan","Reading",0,0,"D","2007-08",2008-04-26,0,0,1
"5842","Everton","Aston Villa",2,2,"D","2007-08",2008-04-27,0,0,1
"5843","Portsmouth","Blackburn",0,1,"A","2007-08",2008-04-27,0,1,0
"5844","Derby","Arsenal",2,6,"A","2007-08",2008-04-28,0,1,0
"5845","Aston Villa","Wigan",0,2,"A","2007-08",2008-05-03,0,1,0
"5846","Blackburn","Derby",3,1,"H","2007-08",2008-05-03,1,0,0
"5847","Bolton","Sunderland",2,0,"H","2007-08",2008-05-03,1,0,0
"5848","Fulham","Birmingham",2,0,"H","2007-08",2008-05-03,1,0,0
"5849","Man United","West Ham",4,1,"H","2007-08",2008-05-03,1,0,0
"5850","Middlesbrough","Portsmouth",2,0,"H","2007-08",2008-05-03,1,0,0
"5851","Reading","Tottenham",0,1,"A","2007-08",2008-05-03,0,1,0
"5852","Arsenal","Everton",1,0,"H","2007-08",2008-05-04,1,0,0
"5853","Liverpool","Man City",1,0,"H","2007-08",2008-05-04,1,0,0
"5854","Newcastle","Chelsea",0,2,"A","2007-08",2008-05-05,0,1,0
"5855","Birmingham","Blackburn",4,1,"H","2007-08",2008-05-11,1,0,0
"5856","Chelsea","Bolton",1,1,"D","2007-08",2008-05-11,0,0,1
"5857","Derby","Reading",0,4,"A","2007-08",2008-05-11,0,1,0
"5858","Everton","Newcastle",3,1,"H","2007-08",2008-05-11,1,0,0
"5859","Middlesbrough","Man City",8,1,"H","2007-08",2008-05-11,1,0,0
"5860","Portsmouth","Fulham",0,1,"A","2007-08",2008-05-11,0,1,0
"5861","Sunderland","Arsenal",0,1,"A","2007-08",2008-05-11,0,1,0
"5862","Tottenham","Liverpool",0,2,"A","2007-08",2008-05-11,0,1,0
"5863","West Ham","Aston Villa",2,2,"D","2007-08",2008-05-11,0,0,1
"5864","Wigan","Man United",0,2,"A","2007-08",2008-05-11,0,1,0
"5865","Arsenal","West Brom",1,0,"H","2008-09",2008-08-16,1,0,0
"5866","Bolton","Stoke",3,1,"H","2008-09",2008-08-16,1,0,0
"5867","Everton","Blackburn",2,3,"A","2008-09",2008-08-16,0,1,0
"5868","Hull","Fulham",2,1,"H","2008-09",2008-08-16,1,0,0
"5869","Middlesbrough","Tottenham",2,1,"H","2008-09",2008-08-16,1,0,0
"5870","Sunderland","Liverpool",0,1,"A","2008-09",2008-08-16,0,1,0
"5871","West Ham","Wigan",2,1,"H","2008-09",2008-08-16,1,0,0
"5872","Aston Villa","Man City",4,2,"H","2008-09",2008-08-17,1,0,0
"5873","Chelsea","Portsmouth",4,0,"H","2008-09",2008-08-17,1,0,0
"5874","Man United","Newcastle",1,1,"D","2008-09",2008-08-17,0,0,1
"5875","Blackburn","Hull",1,1,"D","2008-09",2008-08-23,0,0,1
"5876","Fulham","Arsenal",1,0,"H","2008-09",2008-08-23,1,0,0
"5877","Liverpool","Middlesbrough",2,1,"H","2008-09",2008-08-23,1,0,0
"5878","Newcastle","Bolton",1,0,"H","2008-09",2008-08-23,1,0,0
"5879","Stoke","Aston Villa",3,2,"H","2008-09",2008-08-23,1,0,0
"5880","Tottenham","Sunderland",1,2,"A","2008-09",2008-08-23,0,1,0
"5881","West Brom","Everton",1,2,"A","2008-09",2008-08-23,0,1,0
"5882","Man City","West Ham",3,0,"H","2008-09",2008-08-24,1,0,0
"5883","Wigan","Chelsea",0,1,"A","2008-09",2008-08-24,0,1,0
"5884","Portsmouth","Man United",0,1,"A","2008-09",2008-08-25,0,1,0
"5885","Arsenal","Newcastle",3,0,"H","2008-09",2008-08-30,1,0,0
"5886","Bolton","West Brom",0,0,"D","2008-09",2008-08-30,0,0,1
"5887","Everton","Portsmouth",0,3,"A","2008-09",2008-08-30,0,1,0
"5888","Hull","Wigan",0,5,"A","2008-09",2008-08-30,0,1,0
"5889","Middlesbrough","Stoke",2,1,"H","2008-09",2008-08-30,1,0,0
